1   "Enter: Naruto Uzumaki!"	3 October 2002	10 September 2005
209	"Danzō's Right Arm"	28 April 2011	5 October 2013
210	"The Forbidden Visual Jutsu"	5 May 2011	12 October 2013
211	"Danzō Shimura"	12 May 2011	19 October 2013
212	"Sakura's Resolve"	19 May 2011	19 October 2013
213	"Lost Bonds"	26 May 2011	26 October 2013
214	"The Burden"	2 June 2011	2 November 2013
215	"Two Fates"	9 June 2011	9 November 2013
216	"High-Level Shinobi"	16 June 2011	16 November 2013
217	"The Infiltrator"	23 June 2011	23 November 2013
218	"The Five Great Nations Mobilise"	30 June 2011	30 November 2013
219	"Kakashi Hatake, the Hokage"	7 July 2011	7 December 2013
220	"Prophecy of the Great Lord Elder"	21 July 2011	14 December 2013
221	"Storage"	28 July 2011	21 December 2013
222	"The Five Kage's Decision"	28 July 2011	28 December 2013
223	"The Young Man and the Sea"	4 August 2011	4 January 2014
224	"The Ninja of Benisu"	11 August 2011	11 January 2014
225	"The Cursed Ghost Ship"	18 August 2011	18 January 2014
226	"Battleship Island"	25 August 2011	25 January 2014
227	"The Forgotten Island"	1 September 2011	1 February 2014
228	"Fight! Rock Lee!"	8 September 2011	8 February 2014
229	"Eat or Die! Mushrooms from Hell"	22 September 2011	15 February 2014
230	"Revenge of the Shadow Clones"	29 September 2011	22 February 2014
231	"The Closed Route"	6 October 2011	1 March 2014
232	"The Girls' Get-Together"	13 October 2011	8 March 2014
233	"Naruto's Imposter"	20 October 2011	15 March 2014
234	"Naruto's Favourite Pupil"	27 October 2011	22 March 2014
235	"The Kunoichi of Nadeshiko Village"	3 November 2011	29 March 2014
236	"Friends You Can Count On"	10 November 2011	5 April 2014
237	"Ah, My Hero Lady Tsunade!"	24 November 2011	12 April 2014
238	"Sai's Day Off"	1 December 2011	19 April 2014
239	"The Legendary Ino–Shika–Chō"	8 December 2011	26 April 2014
240	"Kiba's Determination"	15 December 2011	3 May 2014
241	"Kakashi, My Eternal Rival!"	22 December 2011	10 May 2014
242	"Naruto's Vow"	28 December 2011	17 May 2014
243	"Land Ahoy! Is this the Island of Paradise?"	5 January 2012	24 May 2014
244	"Killer B and Motoi"	12 January 2012	31 May 2014
245	"The Next Challenge! Naruto vs. The Nine-Tails!!"	19 January 2012	7 June 2014
246	"The Orange Spark"	26 January 2012	14 June 2014
247	"Target: Nine-Tails"	2 February 2012	21 June 2014
248	"The Fourth Hokage's Death Match"	9 February 2012	28 June 2014
249	"Thank You"	9 February 2012	5 July 2014
250	"Battle in Paradise! Odd Beast vs. The Monster!"	16 February 2012	12 July 2014
251	"The Man Named Kisame"	23 February 2012	19 July 2014
252	"The Angelic Herald of Death"	1 March 2012	26 July 2014
253	"The Bridge to Peace"	8 March 2012	2 August 2014
254	"The Super Secret S-Rank Mission"	15 March 2012	9 August 2014
255	"The Artist Returns"	22 March 2012	16 August 2014
256	"Assemble! Allied Shinobi Forces!"	29 March 2012	23 August 2014
257	"Meeting"	5 April 2012	30 August 2014
258	"Rivals"	12 April 2012	6 September 2014
259	"Rift"	19 April 2012	13 September 2014
260	"Parting"	26 April 2012	20 September 2014
261	"For My Friend"	3 May 2012	27 September 2014
262	"War Begins!"	10 May 2012	4 October 2014
263	"Sai and Shin"	17 May 2012	11 October 2014
264	"The Secret of the Impure World Reincarnation"	24 May 2012	18 October 2014
265	"An Old Nemesis Returns"	31 May 2012	25 October 2014
266	"The First and Last Opponent"	7 June 2012	1 November 2014
267	"The Brilliant Military Advisor of the Hidden Leaf"	21 June 2012	8 November 2014
268	"Battleground!"	28 June 2012	15 November 2014
269	"No-Good Words"	5 July 2012	22 November 2014
270	"Golden Bonds"	19 July 2012	29 November 2014
271	"Road to Sakura"	26 July 2012	6 December 2014
272	"Mifune vs. Hanzō"	2 August 2012	13 December 2014
273	"True Kindness"	9 August 2012	20 December 2014
274	"The Complete Ino-Shika-Chō Formation"	9 August 2012	27 December 2014
275	"A Message from the Heart"	16 August 2012	3 January 2015
276	"Attack of the Gedō Statue"	23 August 2012	10 January 2015
277	"Unison Sign"	30 August 2012	17 January 2015
278	"Medic Ninja in Danger"	6 September 2012	24 January 2015
279	"White Zetsu's Trap"	13 September 2012	31 January 2015
280	"Aesthetics of an Artist"	20 September 2012	7 February 2015
281	"The Allied Mom Force!!"	27 September 2012	14 February 2015
282	"The Secret Origin of the Ultimate Tag Team!!"	4 October 2012	21 February 2015
283	"Two Suns!!"	11 October 2012	28 February 2015
284	"The Helmet Splitter: Jinin Akebino!"	18 October 2012	7 March 2015
285	"User of the Scorch Release: Pakura of the Sand!"	25 October 2012	14 March 2015
286	"Things You Can't Get Back"	1 November 2012	21 March 2015
287	"One Worth Betting On"	1 November 2012	28 March 2015
288	"Danger: Jinpachi and Kushimaru!"	8 November 2012	4 April 2015
289	"The Lightning Blade: Ameyuri Ringo!"	15 November 2012	11 April 2015
290	"Power - Episode 1"	22 November 2012	18 April 2015
291	"Power - Episode 2"	29 November 2012	25 April 2015
292	"Power - Episode 3"	6 December 2012	2 May 2015
293	"Power - Episode 4"	13 December 2012	9 May 2015
294	"Power - Episode 5"	20 December 2012	16 May 2015
295	"Power - Episode Final"	10 January 2013	23 May 2015
296	"Naruto Enters the Battle!"	17 January 2013	30 May 2015
297	"A Father's Hope, A Mother's Love"	24 January 2013	6 June 2015
298	"Contact! Naruto vs. Itachi"	31 January 2013	13 June 2015
299	"The Acknowledged One"	7 February 2013	20 June 2015
300	"The Mizukage, the Giant Clam, and the Mirage"	14 February 2013	27 June 2015
301	"Paradox"	21 February 2013	4 July 2015
302	"Terror: Steaming Danger Tyranny"	28 February 2013	11 July 2015
303	"Ghosts from the Past"	7 March 2013	18 July 2015
304	"The Underworld Transfer Jutsu"	14 March 2013	25 July 2015
305	"The Vengeful"	21 March 2013	8 August 2015
306	"The Heart's Eye"	28 March 2013	15 August 2015
307	"Fade into the Moonlight"	4 April 2013	22 August 2015
308	"Night of the Crescent Moon"	11 April 2013	29 August 2015
309	"An A-Rank Mission: The Contest"	18 April 2013	5 September 2015
310	"The Fallen Castle"	25 April 2013	12 September 2015
311	"Prologue of Road to Ninja"	2 May 2013	19 September 2015
312	"The Old Master and the Dragon's Eye"	9 May 2013	26 September 2015
313	"Rain Followed by Snow, with Some Lightning"	16 May 2013	3 October 2015
314	"The Sad Sun Shower"	23 May 2013	10 October 2015
315	"Lingering Snow"	30 May 2013	17 October 2015
316	"The Reanimated Allied Forces"	6 June 2013	24 October 2015
317	"Shino vs. Torune!"	13 June 2013	31 October 2015
318	"A Hole in the Heart: The Other Jinchūriki"	20 June 2013	7 November 2015
319	"The Soul Living Inside the Puppet"	27 June 2013	14 November 2015
320	"Run, Omoi!"	4 July 2013	21 November 2015
321	"Reinforcements Arrive"	18 July 2013	28 November 2015
322	"Madara Uchiha"	25 July 2013	5 December 2015
323	"The Five Kage Assemble"	1 August 2013	12 December 2015
324	"The Unbreakable Mask and the Shattered Bubble"	8 August 2013	18 December 2015
325	"Jinchūriki vs. Jinchūriki"	15 August 2013	24 December 2015
326	"Four-Tails, the King of Sage Monkeys"	22 August 2013	31 December 2015
327	"Nine-Tails"	29 August 2013	7 January 2016
328	"Kurama"	29 August 2013	14 January 2016
329	"Two-Man Team"	5 September 2013	21 January 2016
330	"The Promise of Victory"	12 September 2013	28 January 2016
331	"Eyes That See in the Dark"	19 September 2013	4 February 2016
332	"A Will of Stone"	26 September 2013	11 February 2016
333	"The Risks of the Impure World Reincarnation"	3 October 2013	18 February 2016
334	"Sibling Tag Team"	10 October 2013	25 February 2016
335	"To Each Their Own Leaf"	24 October 2013	4 March 2016
336	"Kabuto Yakushi"	31 October 2013	11 March 2016
337	"The Izanami Activated"	7 November 2013	18 March 2016
338	"Izanagi and Izanami"	14 November 2013	25 March 2016
339	"I Will Love You Always"	21 November 2013	5 July 2016
340	"Impure World Reincarnation: Release!"	28 November 2013	5 July 2016
341	"Orochimaru's Return"	5 December 2013	5 July 2016
342	"The Secret of the Space–Time Ninjutsu"	12 December 2013	5 July 2016
343	"Who Are You?"	19 December 2013	5 July 2016
344	"Obito and Madara"	9 January 2014	5 July 2016
345	"I'm in Hell"	16 January 2014	5 July 2016
346	"World of Dreams"	23 January 2014	5 July 2016
347	"Creeping Shadow"	23 January 2014	5 July 2016
348	"The New Akatsuki"	30 January 2014	5 July 2016
349	"The Mask that Hides the Heart"	6 February 2014	4 October 2016
350	"Minato's Death"	13 February 2014	4 October 2016
351	"Hashirama's Cells"	20 February 2014	4 October 2016
352	"The Rogue Ninja: Orochimaru"	27 February 2014	4 October 2016
353	"Orochimaru's Test Subject"	6 March 2014	4 October 2016
354	"Their Own Paths"	6 March 2014	4 October 2016
355	"The Targeted Sharingan"	13 March 2014	4 October 2016
356	"A Shinobi of the Leaf"	20 March 2014	4 October 2016
357	"An Uchiha Anbu"	3 April 2014	4 October 2016
358	"Coup d'État"	10 April 2014	4 October 2016
359	"The Night of the Tragedy"	17 April 2014	4 October 2016
360	"Jōnin Leader"	24 April 2014	4 October 2016
361	"Team 7"	8 May 2014	4 October 2016
362	"Kakashi's Resolve"	15 May 2014	17 January 2017
363	"The Allied Shinobi Forces Technique"	22 May 2014	17 January 2017
364	"The Ties That Bind"	5 June 2014	17 January 2017
365	"The Invisible Dancers"	12 June 2014	17 January 2017
366	"The All-Knowing"	19 June 2014	17 January 2017
367	"Hashirama and Madara"	3 July 2014	17 January 2017
368	"Warring States Period"	10 July 2014	17 January 2017
369	"My True Dream"	24 July 2014	17 January 2017
370	"Sasuke's Answer"	31 July 2014	17 January 2017
371	"Hole"	7 August 2014	17 January 2017
372	"Something to Fill the Hole"	14 August 2014	17 January 2017
373	"Team 7, Assemble!"	21 August 2014	17 January 2017
374	"The New Three-Way Deadlock"	28 August 2014	17 January 2017
375	"Kakashi vs. Obito"	4 September 2014	4 April 2017
376	"The Directive to Take the Nine-Tails"	11 September 2014	4 April 2017
377	"Naruto vs. Mecha-Naruto"	11 September 2014	4 April 2017
378	"The Ten-Tails' Jinchūriki"	18 September 2014	4 April 2017
379	"An Opening"	25 September 2014	4 April 2017
380	"The Day Naruto Was Born"	2 October 2014	4 April 2017
381	"God Tree"	9 October 2014	4 April 2017
382	"A Shinobi's Dream"	16 October 2014	4 April 2017
383	"Pursuing Hope"	23 October 2014	4 April 2017
384	"A Heart Filled With Comrades"	30 October 2014	4 April 2017
385	"Obito Uchiha"	6 November 2014	4 April 2017
386	"I'm Always Watching"	13 November 2014	4 April 2017
387	"The Promise That Was Kept"	20 November 2014	4 April 2017
388	"My First Friend"	27 November 2014	4 April 2017
389	"The Adored Elder Sister"	4 December 2014	27 June 2017
390	"Hanabi's Decision"	4 December 2014	27 June 2017
391	"Madara Uchiha Arises"	11 December 2014	27 June 2017
392	"The Hidden Heart"	18 December 2014	27 June 2017
393	"A True Ending"	25 December 2014	27 June 2017
394	"The New Chūnin Exams"	8 January 2015	27 June 2017
395	"The Chūnin Exams Begin!"	15 January 2015	27 June 2017
396	"The Three Questions"	22 January 2015	27 June 2017
397	"One Worthy as a Leader"	29 January 2015	27 June 2017
398	"The Night Before the Second Exam"	5 February 2015	27 June 2017
399	"Demon Desert Survival"	12 February 2015	27 June 2017
400	"As a Taijutsu User"	19 February 2015	27 June 2017
401	"The Ultimate"	26 February 2015	27 June 2017
402	"Escape vs. Pursuit"	5 March 2015	27 June 2017
403	"Unwavering Gutsiness"	12 March 2015	10 October 2017
404	"Tenten's Troubles"	19 March 2015	10 October 2017
405	"The Imprisoned Pair"	26 March 2015	10 October 2017
406	"The Place Where I Belong"	2 April 2015	10 October 2017
407	"The Yamanaka Clan: Secret Ninjutsu"	9 April 2015	10 October 2017
408	"The Cursed Puppet"	16 April 2015	10 October 2017
409	"Their Backs"	23 April 2015	10 October 2017
410	"The Hidden Plot Set Into Motion"	30 April 2015	10 October 2017
411	"The Targeted Tailed Beast"	7 May 2015	10 October 2017
412	"Neji's Judgment"	14 May 2015	10 October 2017
413	"Hopes Entrusted to the Future"	21 May 2015	10 October 2017
414	"On the Brink of Death"	28 May 2015	10 October 2017
415	"The Two Mangekyō"	4 June 2015	10 October 2017
416	"The Formation of Team Minato"	11 June 2015	10 October 2017
417	"You'll Be My Backup"	25 June 2015	9 January 2018
418	"The Blue Beast vs. Six Paths Madara"	2 July 2015	9 January 2018
419	"Papa's Youth"	9 July 2015	9 January 2018
420	"Eight Gates Released Formation"	23 July 2015	9 January 2018
421	"The Sage of Six Paths"	30 July 2015	9 January 2018
422	"The Ones Who Will Inherit"	6 August 2015	9 January 2018
423	"Naruto's Rival"	6 August 2015	9 January 2018
424	"To Rise Up"	13 August 2015	9 January 2018
425	"The Infinite Dream"	20 August 2015	9 January 2018
426	"The Infinite Tsukuyomi"	27 August 2015	9 January 2018
427	"To the Dreamworld"	3 September 2015	9 January 2018
428	"Where Tenten Belongs"	3 September 2015	9 January 2018
429	"Killer B Rappūden: Part 1"	10 September 2015	9 January 2018
430	"Killer B Rappūden: Part 2"	17 September 2015	9 January 2018
431	"To See That Smile, Just One More Time"	24 September 2015	1 May 2018
432	"The Loser Ninja"	1 October 2015	1 May 2018
433	"The Search Mission"	8 October 2015	1 May 2018
434	"Team Jiraiya"	15 October 2015	1 May 2018
435	"Order of Priority"	22 October 2015	1 May 2018
436	"The Masked Man"	5 November 2015	1 May 2018
437	"The Sealed Power"	12 November 2015	1 May 2018
438	"The Rules or a Comrade"	19 November 2015	1 May 2018
439	"The Child of Prophecy"	26 November 2015	1 May 2018
440	"The Caged Bird"	3 December 2015	1 May 2018
441	"Returning Home"	10 December 2015	1 May 2018
442	"The Mutual Path"	17 December 2015	1 May 2018
443	"The Difference in Power"	24 December 2015	1 May 2018
444	"Leaving the Village"	14 January 2016	1 May 2018
445	"Pursuers"	21 January 2016	28 August 2018
446	"Collision"	28 January 2016	28 August 2018
447	"Another Moon"	4 February 2016	28 August 2018
448	"Comrade"	11 February 2016	28 August 2018
449	"The Shinobi Unite"	18 February 2016	28 August 2018
450	"Rival"	25 February 2016	28 August 2018
451	"Birth and Death"	3 March 2016	28 August 2018
452	"The Genius"	10 March 2016	28 August 2018
453	"The Pain of Living"	17 March 2016	28 August 2018
454	"Shisui's Request"	24 March 2016	28 August 2018
455	"Moonlit Night"	7 April 2016	28 August 2018
456	"The Darkness of the Akatsuki"	14 April 2016	28 August 2018
457	"Partner"	21 April 2016	28 August 2018
458	"Truth"	28 April 2016	28 August 2018
459	"She of the Beginning"	5 May 2016	4 December 2018
460	"Kaguya Ōtsutsuki"	12 May 2016	4 December 2018
461	"Hagoromo and Hamura"	19 May 2016	4 December 2018
462	"A Fabricated Past"	26 May 2016	4 December 2018
463	"The No. 1 Most Unpredictable Ninja"	2 June 2016	4 December 2018
464	"Ninshū: The Ninja Creed"	9 June 2016	4 December 2018
465	"Asura and Indra"	16 June 2016	4 December 2018
466	"The Tumultuous Journey"	30 June 2016	4 December 2018
467	"Asura's Decision"	7 July 2016	4 December 2018
468	"The Successor"	21 July 2016	4 December 2018
469	"A Special Mission"	28 July 2016	4 December 2018
470	"Connecting Thoughts"	4 August 2016	4 December 2018
471	"The Two of Them… Always"	11 August 2016	4 December 2018
472	"You Better…"	18 August 2016	4 December 2018
473	"The Sharingan Revived"	25 August 2016	26 March 2019
474	"Congratulations"	1 September 2016	26 March 2019
475	"The Valley of the End"	8 September 2016	26 March 2019
476	"The Final Battle"	29 September 2016	26 March 2019
477	"Naruto and Sasuke"	29 September 2016	26 March 2019
478	"The Unison Sign"	6 October 2016	26 March 2019
479	"Naruto Uzumaki!!"	13 October 2016	26 March 2019
480	"Naruto and Hinata"	20 October 2016	26 March 2019
481	"Sasuke and Sakura"	27 October 2016	26 March 2019
482	"Gaara and Shikamaru"	3 November 2016	26 March 2019
483	"Jiraiya and Kakashi"	10 November 2016	26 March 2019
484	"The Exploding Human"	1 December 2016	26 March 2019
485	"Coliseum"	8 December 2016	26 March 2019
486	"Fūshin"	15 December 2016	26 March 2019
487	"The Ketsuryūgan"	22 December 2016	11 June 2019
488	"The Last One"	5 January 2017	11 June 2019
489	"The State of Affairs"	12 January 2017	11 June 2019
490	"Dark Clouds"	19 January 2017	11 June 2019
491	"Recklessness"	26 January 2017	11 June 2019
492	"Cloud of Suspicion"	2 February 2017	11 June 2019
493	"Dawn"	9 February 2017	11 June 2019
494	"Naruto's Wedding"	16 February 2017	11 June 2019
495	"A Full-Powered Wedding Gift"	16 February 2017	11 June 2019
496	"Steam and Food Pills"	23 February 2017	11 June 2019
497	"The Kazekage's Wedding Gift"	2 March 2017	11 June 2019
498	"The Last Mission"	9 March 2017	11 June 2019
499	"The Outcome of the Secret Mission"	16 March 2017	11 June 2019
500	"The Message"	23 March 2017	11 June 2019
